# Bola branco e 7 actions - variando iluminacao, campo e voltando para o gol

122 39 -52.5666666667 -206.2 18.8 1220000
123 35 -53.54 -114.8 15.3 1230000
124 37 -57.2567567568 -257.6 15.1 1240000
125 40 -46.3525 -142.3 21.9 1250000
126 37 -46.1567567568 -148.2 19.8 1260000
127 36 -54.5722222222 -177.2 19.3 1270000
128 43 -32.0395348837 -114.3 17.5 1280000
129 37 -44.5972972973 -119.9 16.7 1290000
130 35 -47.4828571429 -133.1 15.0 1300000
131 33 -59.7181818182 -158.7 21.9 1310000
132 37 -45.0432432432 -117.0 19.5 1320000
133 46 -30.2260869565 -135.6 19.9 1330000
134 42 -30.9380952381 -114.3 18.5 1340000
135 46 -37.0543478261 -230.1 20.5 1350000
136 39 -47.1974358974 -210.3 17.5 1360000
137 44 -26.8545454545 -105.4 15.5 1370000
138 41 -34.543902439 -97.7 19.6 1380000
139 36 -47.1444444444 -179.0 12.9 1390000
140 43 -29.1511627907 -129.2 20.3 1400000
141 39 -41.8487179487 -144.8 20.2 1410000
142 42 -31.519047619 -116.9 20.9 1420000
143 47 -25.5744680851 -91.8 19.5 1430000
144 36 -40.7194444444 -133.2 15.5 1440000
145 40 -38.16 -170.2 18.0 1450000
146 44 -25.8977272727 -96.5 23.7 1460000
147 39 -38.3307692308 -121.5 21.0 1470000
148 37 -43.2189189189 -116.1 21.5 1480000
149 56 -12.9321428571 -125.7 22.4 1490000
150 37 -36.2378378378 -101.7 19.5 1500000
151 51 -22.431372549 -255.7 24.2 1510000
152 55 -14.1163636364 -129.5 30.2 1520000
153 46 -23.902173913 -161.5 22.4 1530000
154 51 -18.7725490196 -105.4 20.8 1540000
155 54 -16.9833333333 -86.6 22.2 1550000
156 58 -15.5327586207 -268.9 23.8 1560000
157 55 -18.1545454545 -221.3 22.8 1570000
158 56 -13.8839285714 -95.9 24.4 1580000
159 49 -22.5857142857 -146.5 23.0 1590000
160 51 -20.0764705882 -151.3 19.5 1600000
161 57 -11.3438596491 -89.4 23.2 1610000
162 60 -7.52 -95.7 25.4 1620000
163 59 -15.0661016949 -106.4 26.2 1630000
164 52 -19.7576923077 -174.3 23.9 1640000
165 68 -5.18382352941 -90.3 27.0 1650000
166 67 -6.75074626866 -186.2 26.0 1660000
167 78 0.312820512821 -74.4 24.1 1670000
168 67 -2.95074626866 -83.1 23.3 1680000
169 70 -2.45 -87.8 24.7 1690000
170 72 -2.76666666667 -78.8 24.0 1700000
171 70 -5.14571428571 -128.4 23.0 1710000
172 71 -3.92253521127 -187.5 24.1 1720000
173 79 -0.886075949367 -80.4 19.8 1730000
174 77 -0.377922077922 -121.5 22.8 1740000
175 60 -9.81833333333 -224.2 27.5 1750000
176 82 -0.781707317073 -254.9 25.8 1760000
177 88 2.36818181818 -111.5 26.7 1770000
178 95 5.67368421053 -84.7 25.4 1780000
179 72 -1.05416666667 -75.0 23.4 1790000
180 68 -5.78382352941 -96.5 24.4 1800000
181 100 8.142 -98.3 24.3 1810000
182 106 8.51981132075 -73.4 23.2 1820000
183 95 4.66736842105 -157.2 24.3 1830000
184 87 3.17586206897 -116.7 26.6 1840000
185 94 7.23936170213 -73.0 26.1 1850000
186 104 8.43365384615 -103.6 25.2 1860000
187 91 6.97692307692 -78.6 23.3 1870000
188 89 3.79550561798 -79.5 26.5 1880000
189 91 5.00879120879 -99.2 24.4 1890000
190 90 2.67666666667 -218.7 25.8 1900000
191 105 5.90666666667 -241.8 27.0 1910000
192 103 7.88155339806 -87.3 25.3 1920000
193 87 3.6632183908 -158.8 23.6 1930000
194 111 8.76576576577 -81.5 22.7 1940000
195 135 13.7355555556 -42.0 24.7 1950000
196 125 9.3152 -94.5 25.8 1960000
197 129 11.9085271318 -82.7 25.8 1970000
198 128 11.47421875 -84.6 24.8 1980000
199 121 10.8479338843 -55.7 25.5 1990000
200 124 11.1669354839 -107.5 25.0 2000000
201 130 12.6976923077 -42.9 25.8 2010000
202 121 11.9404958678 -107.0 27.2 2020000
203 131 13.0610687023 -39.8 25.6 2030000
204 138 14.6362318841 -27.7 27.9 2040000
205 119 11.2193277311 -89.3 23.9 2050000
206 121 11.5107438017 -77.0 25.1 2060000
207 124 12.0919354839 -100.2 26.8 2070000
208 121 10.5107438017 -133.5 26.2 2080000
209 127 12.9582677165 -111.9 25.0 2090000
210 128 12.790625 -43.6 24.6 2100000
211 136 13.9514705882 -57.4 25.9 2110000
212 140 14.6521428571 -25.7 28.3 2120000
213 131 13.5030534351 -148.0 28.0 2130000
214 131 10.2305343511 -201.1 25.4 2140000
215 143 13.4944055944 -21.2 25.9 2150000
216 142 14.8366197183 -25.0 27.8 2160000
217 141 13.4914893617 -47.9 26.5 2170000
218 120 12.6216666667 -43.7 26.4 2180000
219 139 14.2510791367 -24.2 25.4 2190000
220 140 13.775 -37.8 24.5 2200000
221 141 14.2730496454 -17.7 27.2 2210000
222 145 14.0517241379 -105.1 28.5 2220000
223 139 13.7388489209 -105.2 26.7 2230000
224 131 13.2145038168 -43.2 27.6 2240000
225 134 13.2462686567 -30.6 25.9 2250000
226 122 11.5459016393 -49.9 26.7 2260000
227 148 14.697972973 -72.7 27.6 2270000
228 135 11.7022222222 -217.4 25.8 2280000
229 121 9.67438016529 -222.9 27.3 2290000
230 137 12.796350365 -48.2 25.7 2300000
231 142 13.5408450704 -42.0 24.8 2310000
232 131 12.0435114504 -66.7 29.5 2320000
233 119 11.0596638655 -53.2 26.9 2330000
234 143 13.3524475524 -182.1 25.2 2340000
235 141 14.2687943262 -38.2 26.3 2350000
236 129 11.1085271318 -241.8 27.5 2360000
237 136 14.5801470588 -39.0 27.3 2370000
238 127 11.5440944882 -166.7 32.5 2380000
239 130 13.2407692308 -36.3 28.7 2390000
240 125 12.536 -51.5 25.8 2400000
241 117 8.96666666667 -211.8 26.4 2410000
242 132 13.4553030303 -93.4 25.1 2420000
243 123 12.9016260163 -63.5 26.1 2430000
244 136 13.9264705882 -22.8 25.4 2440000
245 123 12.0666666667 -48.5 26.7 2450000
246 134 14.7417910448 -39.4 25.9 2460000
247 112 12.1732142857 -98.3 25.8 2470000
248 144 13.7208333333 -159.6 27.7 2480000
249 142 13.5563380282 -42.6 25.3 2490000
250 133 13.5466165414 -241.9 26.2 2500000
251 140 13.7342857143 -97.3 27.3 2510000
252 129 12.123255814 -104.3 25.9 2520000
253 129 12.3178294574 -52.8 28.3 2530000
254 134 13.5708955224 -80.2 27.8 2540000
255 143 13.8783216783 -56.1 26.1 2550000
256 136 14.4529411765 -18.3 26.9 2560000
257 130 12.6823076923 -30.9 28.9 2570000
258 132 13.8674242424 -87.8 26.8 2580000
259 140 14.5485714286 -100.2 28.8 2590000
260 139 14.8028776978 -45.5 26.3 2600000
261 127 13.6661417323 -46.0 27.0 2610000
262 129 13.2581395349 -50.6 27.9 2620000
263 123 11.0593495935 -140.1 25.1 2630000
264 132 13.1803030303 -54.5 24.9 2640000
265 121 10.8892561983 -95.3 27.4 2650000
266 135 13.8718518519 -66.8 25.9 2660000
267 136 13.8632352941 -100.7 26.2 2670000
268 127 13.3251968504 -58.2 25.4 2680000
269 146 14.5931506849 -77.1 26.6 2690000
270 119 10.9613445378 -229.7 25.9 2700000
271 117 10.552991453 -160.1 29.8 2710000
272 118 10.8440677966 -59.4 25.3 2720000
273 127 13.3787401575 -106.2 27.2 2730000
274 122 11.7344262295 -64.0 26.2 2740000
275 122 10.6327868852 -227.9 25.8 2750000
276 143 13.2608391608 -107.5 26.8 2760000
277 140 14.0142857143 -227.5 26.5 2770000
278 113 11.7707964602 -148.6 27.0 2780000
279 133 13.9187969925 -77.3 31.4 2790000
280 123 11.9243902439 -207.6 27.1 2800000
281 117 9.20512820513 -247.2 29.3 2810000
282 117 9.38205128205 -325.1 26.4 2820000
283 118 11.9152542373 -32.5 26.8 2830000
284 112 10.7526785714 -56.6 27.2 2840000
285 104 6.13942307692 -226.7 26.2 2850000
286 127 12.8133858268 -23.0 26.0 2860000
287 98 8.36836734694 -84.2 24.8 2870000
288 109 10.2321100917 -56.9 25.9 2880000
289 101 7.46237623762 -198.8 25.8 2890000
290 102 6.55098039216 -93.7 26.5 2900000
291 128 13.1453125 -51.2 27.8 2910000
